Item_Identifier,Item_Weight,Item_Type,Item_MRP,Fat_Content,Outlet_Type,Item_Outlet_Sales
FDV27,7.97,3,87.3514,,1,1062.6168
FDF09,,4,38.2848,1,3,484.7024
FDY40,,8,51.0692,3,4,147.8076
FDY45,,7,255.8356,1,3,2543.356
FDC46,17.7,7,185.4266,,4,184.4266
FDH19,19.35,3,172.5738,3,1,4865.6664
FDZ03,13.65,1,186.024,,1,1118.544
DRH37,17.6,2,164.8526,,1,2302.3364
NCI17,8.645,13,95.841,3,1,2027.361
FDJ58,15.6,7,170.1764,3,1,3435.528
FDL12,15.85,6,59.222,2,1,599.22
FDH35,18.25,15,164.7526,,1,4604.6728
FDG02,7.855,11,189.6188,,1,2285.0256
NCZ18,7.825,5,254.3698,1,1,5580.7356
FDC29,8.39,8,114.0176,3,1,2290.352
FDQ10,12.85,7,172.3422,1,1,1207.0954
FDN48,,6,89.9804,3,4,643.1628
FDL04,19,8,104.9622,,1,1587.933
FDV25,5.905,11,222.5456,,1,5305.0944
FDD58,7.76,7,101.87,3,1,1697.79
FDN04,11.8,8,180.3344,3,1,1427.4752
FDV45,16.75,7,187.9556,1,2,4693.89
NCL18,,5,194.6136,3,4,583.2408
FDR12,,6,171.3764,1,3,3091.9752
FDG20,15.5,4,177.0028,,1,2479.4392
FDZ55,6.055,4,160.992,3,1,2716.464
FDQ49,,9,155.963,1,3,3285.723
FDN33,6.305,7,95.6436,3,1,661.8052
FDN27,20.85,3,117.2808,1,1,1523.3504
FDW20,20.75,4,122.173,,4,369.519
DRG27,8.895,1,39.9138,1,1,690.4346
DRI25,19.6,2,55.1614,,1,1381.535
FDA44,19.7,4,57.893,3,1,622.523
NCR17,9.8,13,114.5492,3,1,1274.3412
FDU04,,8,120.0414,3,4,487.3656
FDF41,12.15,8,246.046,1,1,1231.73
FDB56,8.75,4,187.4556,3,1,3755.112
NCP18,,5,149.9708,1,3,4363.6532
FDB56,8.75,4,187.8556,3,1,1314.2892
FDT28,13.3,8,151.0708,,1,1805.6496
FDD10,,7,178.5344,1,3,2854.9504
FDW57,8.31,7,179.1028,1,1,3896.2616
DRB48,16.75,2,38.7822,2,1,667.7974
FDP09,19.75,7,212.0902,1,2,3185.853
FDH14,17.1,11,141.1838,2,1,2247.7408
FDA47,10.5,6,163.121,2,1,1794.331
FDG12,6.635,6,121.3098,,1,2530.7058
DRE60,,2,225.372,3,4,679.116
DRK49,14.15,2,41.4138,2,1,812.276
FDD03,13.3,1,232.53,3,1,699.09
FDS52,8.89,8,102.4016,,1,2732.4432
FDW39,,3,176.937,3,4,176.437
FDX34,,7,121.7098,1,3,4097.3332
FDV11,9.1,12,173.2054,,1,3151.8972
FDD17,7.5,8,239.0906,1,1,5942.265
FDZ16,16.85,8,192.4478,,1,4843.695
FDZ46,7.485,7,109.0228,3,1,2542.0244
DRA12,11.6,2,140.3154,,1,2552.6772
FDY58,11.65,7,227.0694,1,2,1141.847
NCF19,13,5,47.5034,,1,680.4476
DRJ13,12.65,2,159.0578,,1,2085.9514
FDB14,20.25,11,92.512,,4,186.424
FDJ38,8.6,11,190.153,3,1,3036.048
FDW11,12.6,12,62.7194,,1,866.8716
FDL40,17.7,8,95.041,3,1,868.869
DRI49,14.15,2,82.4276,3,1,1137.1864
FDV38,19.25,1,52.7956,,1,928.1252
DRG23,8.88,10,151.7682,2,1,762.341
NCP30,20.5,5,40.2822,,1,707.0796
FDY25,,11,180.5976,1,3,7968.2944
NCH54,13.5,5,160.292,3,1,1438.128
NCR53,,13,224.4404,1,3,6976.2524
FDS52,8.89,8,101.7016,,4,101.2016
FDG02,7.855,11,188.5188,1,2,952.094
NCO26,7.235,5,116.0492,3,1,1969.4364
FDH35,,15,165.4526,1,3,5262.4832
FDB51,6.92,1,60.5852,,1,1314.2892
FDX44,9.3,4,90.8172,,1,535.3032
NCN07,18.5,14,132.1284,,4,263.6568
NCC31,8.02,5,154.5972,3,1,1402.1748
NCX54,9.195,5,105.1622,,1,1693.7952
NCO55,12.8,14,105.5938,,1,2143.876
NCC30,16.6,5,177.6344,1,1,2676.516
FDI16,14,8,53.064,3,1,905.488
FDP16,18.6,8,246.3802,1,1,7370.406
FDB11,16,15,226.8404,3,1,6301.1312
NCB06,17.6,13,160.692,3,1,1597.92
FDA45,21.25,7,178.237,3,1,529.311
NCO26,7.235,5,117.5492,3,1,1969.4364
DRJ25,14.6,2,50.3692,,1,1034.6532
FDR28,13.85,8,161.521,1,2,1794.331
FDI04,13.65,8,197.6426,1,2,2768.3964
DRK12,,2,31.29,1,3,898.83
FDX20,7.365,4,226.172,3,1,3169.208
NCI18,18.35,5,223.5746,1,2,3589.9936
FDB36,5.465,6,132.5626,1,2,262.3252
FDN13,18.6,9,99.8358,,1,1910.1802
DRD24,13.85,2,140.9154,,1,1701.7848
FDQ28,14,8,154.5656,2,1,2471.4496
FDM22,14,7,54.764,2,1,1331.6
FDR07,,4,97.0094,1,3,1808.9786
FDV25,5.905,11,222.5456,1,2,3315.684
DRF49,7.27,2,114.2518,3,1,2618.5914
FDW51,6.155,3,214.556,3,1,2769.728
DRL01,19.5,2,233.4958,,1,5375.0034
FDP25,15.2,11,216.8824,,1,2838.9712
FDL50,12.15,11,125.0046,1,2,1743.0644
NCB30,,5,198.8084,1,3,5555.4352
FDW11,12.6,12,61.9194,1,2,619.194
NCM43,14.5,14,164.821,3,1,2120.573
FDK44,16.6,4,173.0738,,1,3823.0236
FDM15,11.8,3,151.4366,2,1,1360.2294
FDS31,13.1,4,178.8318,2,1,3969.4996
FDI32,17.7,4,115.1834,,4,345.5502
FDR47,17.85,12,196.5794,,4,585.2382
FDB35,12.3,15,92.6804,,1,1010.6844
NCU05,11.8,13,81.4618,,4,161.1236
DRY23,,2,42.1112,3,4,42.6112
FDO24,11.1,6,157.4604,,1,3010.7476
FDQ28,,8,153.0656,1,3,6024.1584
FDV39,11.3,3,198.1426,,1,988.713
NCO17,,13,117.944,3,4,239.688
FDU50,5.75,1,112.8176,2,1,1374.2112
FDT12,,6,226.8062,1,3,4739.8302
FDK58,11.35,7,100.0016,1,2,1012.016
FDO08,,4,165.7526,3,4,657.8104
NCW29,14,13,130.431,1,1,778.986
FDE04,19.75,8,179.766,,1,2336.958
NCB19,6.525,5,85.0882,1,1,2233.0932
FDV15,10.3,3,103.9648,1,1,1661.8368
FDL58,5.78,7,264.7568,1,1,4745.8224
FDA08,11.85,4,164.1526,,1,3124.5994
FDT43,16.35,4,50.1324,1,2,467.3916
NCX06,,5,182.5976,1,3,5070.7328
FDT20,10.5,4,37.6164,3,1,540.6296
FDB41,19,8,48.0718,3,1,992.7078
NCN55,14.6,14,238.8538,1,1,6008.845
FDE40,,1,62.9194,1,3,2105.2596
FDX49,,11,232.63,1,3,5359.69
NCM53,18.75,13,104.628,,1,745.696
FDE36,5.26,6,161.8868,3,1,3275.736
FDN57,18.25,7,140.2154,,1,1701.7848
FDI24,,6,177.937,1,3,6704.606
FDI19,15.1,3,242.7512,3,1,4119.9704
FDF24,15.5,6,81.5934,,4,327.5736
FDG52,13.65,8,45.7402,1,1,780.9834
DRF36,16.1,2,189.3846,,1,3630.6074
FDS45,,7,107.3622,3,4,317.5866
FDX40,12.85,8,39.7164,,4,231.6984
DRK12,9.5,2,32.99,3,1,133.16
DRC27,13.8,1,245.1802,3,1,5650.6446
FDL58,5.78,7,263.7568,,1,2636.568
NCD30,19.7,5,96.0726,,1,1272.3438
NCZ54,14.65,5,161.5552,,4,324.9104
FDE10,6.67,7,130.0626,,4,131.1626
FDR44,6.11,4,131.2968,,4,260.9936
FDP28,13.65,8,260.0936,,4,260.9936
FDX15,17.2,3,160.6578,2,1,3690.5294
FDA39,6.32,3,40.2822,3,1,1139.1838
FDY24,4.88,6,52.9298,1,1,1995.4026
FDC60,5.425,6,88.3514,,1,1416.8224
FDH28,15.85,8,37.2506,3,1,265.6542
FDT25,7.5,11,121.7072,,1,3552.7088
DRJ13,12.65,2,161.5578,2,1,2406.867
NCO07,,14,211.956,3,4,213.056
FDW20,20.75,4,124.173,2,1,2956.152
DRF27,,1,152.134,3,4,153.134
FDS49,9,11,79.7644,3,1,1649.8524
FDX25,,11,181.9292,1,3,3101.2964
NCX42,,5,165.6526,1,3,4769.1254
FDG33,,16,170.4764,1,3,3435.528
FDL56,14.1,4,86.4198,,1,1133.8574
FDF14,7.55,11,152.334,3,1,2603.278
NCD06,13,5,45.406,3,1,605.878
DRM47,,10,192.8846,1,3,2293.0152
FDS46,,7,118.7782,3,4,119.1782
FDB35,12.3,15,92.9804,2,1,1929.4884
FDX21,,7,109.8912,1,3,2074.6328
NCU05,,13,79.9618,1,3,241.6854
NCR38,17.25,5,251.3724,,1,6795.1548
NCR18,15.85,5,42.7112,,1,639.168
NCU41,18.85,13,192.1846,3,1,3248.4382
FDY56,16.35,4,227.6062,,1,7222.5984
DRJ51,14.1,1,229.0668,3,1,3225.1352
FDK21,7.905,7,249.0408,3,1,3755.112
FDY25,12,11,179.3976,2,1,3440.8544
FDU44,12.15,4,163.4552,3,1,974.7312
FDL43,10.1,3,75.367,1,1,535.969
FDF05,17.5,8,262.491,,1,5259.82
DRF15,,1,152.034,3,4,306.268
FDL20,17.1,4,112.3886,1,2,1779.0176
FDV32,7.785,4,61.451,1,1,759.012
FDJ34,11.8,7,125.9704,2,1,1877.556
FDG08,13.15,4,171.8764,,1,3779.0808
FDQ04,,8,41.5796,3,4,41.2796
FDW13,8.5,11,51.1324,,1,259.662
NCI17,8.645,13,96.341,2,1,193.082
FDY03,17.6,3,110.9202,,1,1687.803
FDS12,9.1,6,127.5362,,1,4655.9394
FDJ55,12.8,3,225.9404,2,1,4950.8888
DRK01,7.63,2,95.4436,3,1,1418.154
FDG28,9.285,8,246.4144,,1,1225.072
FDY38,13.6,1,231.03,,1,5359.69
FDN01,8.895,9,176.237,,1,1764.37
NCR54,16.35,5,195.211,2,1,2553.343
FDG29,17.6,8,43.3454,2,1,1006.6896
FDG24,7.975,6,85.225,2,1,1081.925
FDG59,15.85,15,36.7164,,1,308.9312
FDM28,15.7,8,178.666,2,1,2516.724
FDW04,8.985,8,128.831,3,1,1428.141
FDS26,20.35,1,260.1594,2,1,2093.2752
FDQ56,6.59,4,85.6908,2,1,1929.4884
FDK51,19.85,1,264.0884,3,1,5829.7448
FDL22,16.85,7,91.4488,3,1,2082.6224
FDH19,,3,173.1738,1,3,7298.4996
FDY55,16.75,4,256.4988,2,1,7452.9652
FDY03,17.6,3,110.5202,,1,450.0808
FDK21,7.905,7,250.4408,,4,500.6816
FDZ10,,7,126.202,1,3,3668.558
FDZ32,7.785,4,103.1964,1,2,736.3748
NCZ18,7.825,5,253.0698,3,1,6088.0752
NCF07,,5,101.0016,1,3,2125.2336
DRE49,20.75,2,153.0024,,1,2277.036
FDJ08,,4,190.3846,3,4,573.2538
FDT39,6.26,3,151.1366,3,1,2267.049
FDE08,18.2,4,147.3734,,4,296.9468
NCD06,13,5,46.306,1,2,559.272
FDB57,20.25,4,222.1772,3,1,5559.43
NCT54,8.695,5,95.5094,1,1,1237.7222
DRF49,7.27,2,113.5518,,1,569.259
FDM25,,9,174.0712,1,3,3866.9664
FDF20,12.85,4,198.4768,,1,1379.5376
FDH27,7.075,1,142.7128,1,2,1869.5664
FDV60,,6,196.211,1,3,5499.508
FDY59,8.195,6,94.3462,1,1,925.462
FDK36,7.09,6,47.9034,3,1,583.2408
NCM31,6.095,14,141.4154,3,1,1418.154
FDE33,19.35,4,80.2644,,1,942.7728
FDU36,6.15,6,99.3384,3,1,2364.9216
FDV13,,11,87.9856,1,3,3251.7672
FDV20,,4,125.2678,3,4,254.3356
NCQ54,17.7,5,167.0474,3,1,5895.659
FDO23,17.85,12,93.7436,1,2,1134.5232
DRE60,9.395,2,224.972,,1,7696.648
DRP47,15.75,10,250.5382,,1,2775.7202
FDB21,7.475,4,241.2854,,1,5317.0788
FDR04,7.075,8,98.0068,1,2,874.8612
FDX23,6.445,6,92.6436,3,1,1039.9796
FDX19,19.1,4,235.0958,3,1,3038.0454
FDD40,20.25,1,193.6162,3,1,3848.324
FDA01,15,11,59.1904,3,1,527.3136
FDS33,6.67,7,89.1514,3,1,2390.8878
FDM50,,11,60.222,1,3,1677.816
FDB29,16.7,8,112.7176,2,1,801.6232
FDF46,7.07,7,115.5834,,1,1267.0174
FDA33,6.48,7,148.0076,,1,886.8456
FDC08,19,4,228.272,,4,452.744
FDB53,13.35,8,147.5392,,1,3877.6192
FDY31,,4,146.6418,1,3,4414.254
DRQ35,,10,122.4388,1,3,5448.9072
FDX36,9.695,6,223.9404,1,1,4950.8888
DRD13,15,2,62.6168,,1,958.752
FDC52,11.15,1,149.9708,,1,1956.1204
FDB45,20.85,4,103.2306,1,1,2404.2038
NCK19,9.8,14,194.3478,,4,387.4956
FDV51,16.35,3,165.0842,2,1,994.7052
FDZ35,9.6,12,101.299,,1,1754.383
NCW17,,13,129.9994,1,3,3340.9844
FDV59,13.35,12,216.7166,,1,3918.8988
DRH39,20.7,1,76.367,2,1,306.268
FDN60,,6,158.4604,1,3,4278.4308
FDU55,16.2,4,260.6278,,1,4425.5726
FDN58,,7,230.9984,1,3,9267.936
FDC41,,8,76.867,3,4,229.701
FDO01,,9,129.3994,1,3,2055.9904
NCO43,5.5,14,101.3016,3,1,3339.6528
FDQ07,15.1,4,221.7456,,1,6410.3224
FDF28,15.7,8,122.9046,,1,1992.0736
FDM01,7.895,9,104.4332,,1,2870.9296
FDY49,,11,164.5184,1,3,2807.0128
FDR24,17.35,6,88.183,2,1,539.298
NCY18,7.285,5,174.3054,2,1,4377.635
NCY30,20.25,5,180.9976,,1,2716.464
FDJ22,,7,190.9504,3,4,383.5008
DRI37,15.85,2,59.5904,1,1,703.0848
FDL27,6.17,3,66.3826,1,1,1937.478
NCO30,19.5,5,182.2608,1,1,3307.6944
NCB07,19.2,5,197.611,1,1,3142.576
FDX25,16.7,11,181.2292,1,2,2554.0088
FDP59,20.85,12,104.0648,1,2,1869.5664
FDR59,14.5,12,260.4594,,1,5494.8474
FDT27,11.395,3,233.1616,2,1,6093.4016
DRI01,7.97,2,174.0422,3,1,2586.633
FDU09,7.71,7,55.2956,1,1,1255.6988
FDH26,19.25,11,141.7496,3,1,4093.3384
FDH27,7.075,1,142.2128,3,1,3163.8816
FDN39,,3,166.0816,1,3,5033.448
FDH40,11.6,8,79.9276,3,1,1137.1864
FDJ56,,4,98.77,1,3,2696.49
DRN47,12.1,10,178.566,1,2,898.83
NCO17,10,13,118.244,3,1,2756.412
FDX60,14.35,6,81.896,,1,878.856
FDT22,10.395,7,58.222,1,1,659.142
FDX26,,1,182.6292,3,4,182.4292
FDG45,8.1,4,211.4902,2,1,3610.6334
FDD44,8.05,4,256.4646,3,1,5153.292
FDS15,9.195,3,108.7596,,1,2588.6304
FDL51,20.7,1,212.5876,1,2,1286.3256
FDL32,15.7,4,110.1544,,1,1230.3984
FDZ07,,4,60.2194,1,3,1733.7432
NCW53,,13,193.8162,3,4,384.8324
NCA54,16.5,5,180.0318,,1,3969.4996
FDX09,9,7,176.437,3,1,7763.228
FDO51,6.785,3,41.2112,2,1,809.6128
FDW49,19.5,11,178.6002,1,2,1253.7014
FDB27,7.575,1,195.2768,3,1,5715.2272
FDF45,18.2,4,57.7904,2,1,1464.76
FDV02,16.75,1,169.8106,2,1,3251.1014
FDY28,7.47,8,214.3218,3,1,4274.436
FDX31,,4,231.7958,1,3,5375.0034
FDR43,,4,38.019,1,3,1318.284
FDP51,13.85,3,119.4124,1,2,2251.7356
FDL52,6.635,8,37.4506,,1,1176.4686
FDR44,6.11,4,130.4968,3,1,3523.4136
FDB34,15.25,7,86.2198,3,1,610.5386
FDC50,15.85,11,96.4094,3,1,1237.7222
FDT57,15.2,7,235.1248,,4,474.0496
FDP22,,7,52.6666,1,3,717.7324
DRE49,20.75,2,150.5024,3,1,2580.6408
FDM40,10.195,8,143.2154,3,1,2552.6772
FDY32,7.605,4,164.021,,1,3914.904
FDW07,18,4,88.5514,3,1,796.9626
FDU02,,1,228.9352,3,4,916.1408
NCF18,18.35,5,191.3504,,1,3259.7568
FDQ56,6.59,4,84.8908,1,1,1677.816
FDN58,13.8,7,230.0984,1,1,3707.1744
FDG35,21.2,15,173.5738,3,1,2954.1546
FDY34,10.5,7,166.4842,1,2,2652.5472
NCE19,8.97,5,52.7956,,1,1037.3164
NCK31,,14,50.9666,1,3,717.7324
NCJ29,10.6,13,86.1224,,1,426.112
FDT59,13.65,12,231.1668,3,1,6911.004
NCX41,19,13,211.0244,3,1,3811.0392
FDU45,,7,115.3518,1,3,2277.036
FDW24,,6,48.9034,3,4,48.6034
FDF22,6.865,7,212.8218,1,1,5770.4886
FDM60,10.8,6,40.2138,3,1,690.4346
FDR02,16.7,1,110.2886,2,1,1890.2062
DRP35,,10,126.2336,1,3,3195.84
FDS48,15.15,6,150.1708,3,1,1504.708
NCZ42,10.5,5,238.3248,,4,711.0744
FDZ38,17.6,1,174.2422,1,2,4311.055
FDH19,19.35,3,175.4738,3,1,521.3214
NCB55,15.7,5,59.4562,3,1,829.5868
FDC15,18.1,1,155.5288,,1,1571.288
FDF11,10.195,15,239.6538,3,1,2403.538
FDW35,,12,41.6454,3,4,83.8908
FDB44,6.655,4,211.0586,,1,844.2344
NCC06,19,5,127.3336,,1,2940.1728
FDR04,7.075,8,98.0068,,4,291.6204
FDB17,13.15,8,181.2976,,1,3259.7568
FDW43,20.1,4,226.8036,1,1,3415.554
FDA27,20.35,1,256.7672,1,2,5624.6784
NCU41,18.85,13,190.1846,1,1,6687.961
FDY56,16.35,4,227.1062,1,1,5642.655
FDV39,11.3,3,196.2426,1,2,4943.565
FDN32,17.5,4,182.6266,1,2,3135.2522
FDW07,18,4,87.4514,,1,796.9626
FDZ27,7.935,1,51.535,,1,848.895
FDW23,,6,37.3164,3,4,38.6164
FDU01,20.25,11,184.5924,3,1,4997.4948
FDF10,15.5,7,149.1418,1,1,588.5672
DRH03,,1,91.812,3,4,372.848
FDW27,,3,155.7314,3,4,155.1314
DRI13,15.35,2,218.0508,2,1,3038.7112
NCR05,10.1,13,200.2084,3,1,1587.2672
FDB29,16.7,8,115.4176,,1,687.1056
FDL51,20.7,1,213.4876,1,1,1929.4884
FDB11,16,15,223.8404,2,1,3600.6464
FDI35,14,15,180.7634,3,1,2181.1608
FDX08,12.85,4,181.4318,3,1,3428.2042
FDP59,20.85,12,105.6648,,1,623.1888
NCJ18,12.35,5,120.5124,1,1,2133.2232
FDJ41,6.85,8,261.6594,1,2,3401.5722
FDU08,10.3,4,101.0042,3,1,1289.6546
FDS09,,7,49.6008,3,4,50.6008
DRH15,8.775,1,45.9428,2,1,790.9704
NCV17,18.85,13,129.2626,,1,3147.9024
NCO54,,5,56.7614,1,3,2486.763
FDE24,14.85,6,141.0812,3,1,1139.8496
FDH53,20.5,8,84.3592,3,1,1816.3024
FDZ13,7.84,11,51.935,1,2,199.74
FDW28,18.25,8,196.7452,,1,978.726
FDU46,10.3,7,85.854,2,1,2683.174
NCE43,12.5,5,169.9448,3,1,2897.5616
FDS26,,1,260.5594,1,3,9158.079
FDB14,20.25,11,93.212,3,1,1957.452
DRB48,,2,40.2822,1,3,1296.3126
NCC42,15,13,140.3838,2,1,2528.7084
FDQ20,8.325,4,38.7138,2,1,284.2966
FDA13,15.85,11,38.6506,,1,759.012
FDZ15,13.1,1,117.3782,3,1,1787.673
NCV42,6.26,5,111.3228,,1,2431.5016
DRI51,17.25,1,173.1764,1,2,4466.1864
FDO28,5.765,8,119.9098,3,1,2048.6666
NCS54,13.6,5,175.437,2,1,1940.807
FDH16,10.5,8,88.783,,1,2067.309
FDG24,7.975,6,85.125,,1,2663.2
FDR52,12.65,8,192.1846,1,2,1146.5076
NCH06,12.3,5,247.846,,1,3448.844
FDA36,5.985,6,184.8924,,1,1665.8316
FDU56,,4,184.7266,1,3,8114.7704
FDT09,15.15,7,132.5284,1,1,1713.7692
FDU25,12.35,11,56.4246,3,1,810.9444
FDK41,14.3,8,84.9224,3,1,1193.1136
NCT54,8.695,5,93.4094,3,1,856.8846
FDV51,16.35,3,163.8842,,4,165.7842
FDM24,6.135,6,151.3366,,1,1057.9562
NCO30,19.5,5,185.0608,,1,2205.1296
FDQ45,9.5,7,182.3608,2,1,2940.1728
DRK59,8.895,10,235.8616,3,1,3046.7008
FDW28,18.25,8,196.8452,3,1,3327.6684
FDC02,21.35,11,258.3278,,4,520.6556
FDR21,19.7,7,174.837,3,1,2999.429
FDN48,,6,90.0804,1,3,2113.2492
FDT44,16.6,4,117.8466,,1,942.7728
FDX14,,1,74.0354,3,4,75.2354
FDH57,10.895,4,133.6284,3,1,1581.9408
FDH28,,8,37.4506,3,4,37.9506
NCT41,,13,151.3024,3,4,151.8024
FDO11,,12,248.8092,1,3,3486.1288
NCP42,8.51,5,195.2478,,1,4262.4516
FDN09,14.15,7,243.9828,,4,731.0484
FDP32,6.65,4,128.8678,3,1,1398.8458
FDV57,15.25,7,177.966,1,1,2336.958
FDW28,18.25,8,196.5452,2,1,2348.9424
FDR56,,4,196.8768,1,3,7094.7648
FDA40,16,8,87.4856,3,1,1054.6272
NCG42,19.2,5,127.831,,1,1298.31
NCK54,12.15,5,117.815,,1,2330.3
FDE16,8.895,8,208.9954,1,1,4584.6988
FDB15,10.895,1,263.4568,,4,527.3136
FDC40,16,1,76.1986,,1,1869.5664
FDE53,,8,106.928,1,3,2876.256
FDK24,9.195,6,43.6744,1,2,407.4696
FDW31,11.35,4,201.0742,1,2,2189.8162
NCX29,10,13,144.0102,,1,1603.9122
NCM07,9.395,14,82.4908,3,1,2013.3792
DRN36,,2,95.9752,3,4,95.8752
FDQ37,20.75,9,192.8478,,4,774.9912
FDK43,9.8,3,128.402,,1,2403.538
FDK28,5.695,8,258.5646,1,2,4380.2982
FDR43,18.2,4,37.819,,1,219.714
FDL48,19.35,6,49.2034,2,1,729.051
DRL23,18.35,10,106.6938,,1,1393.5194
NCX42,6.36,5,163.6526,,1,5262.4832
DRD37,9.8,2,46.506,1,2,372.848
FDZ47,,6,99.9042,1,3,3273.7386
NCJ54,,5,231.7642,1,3,5344.3766
FDL52,6.635,8,39.7506,2,1,303.6048
FDC15,18.1,1,156.7288,,4,314.2576
NCD19,8.93,5,56.0614,,4,276.307
FDD08,8.3,4,38.9506,2,1,721.0614
NCN18,8.895,5,112.7544,,1,3467.4864
FDY56,16.35,4,225.9062,3,1,5416.9488
NCI29,8.6,13,140.5154,1,2,283.6308
NCE06,,5,160.2894,3,4,323.5788
FDC08,19,4,227.772,,1,5206.556
FDU52,7.56,8,157.263,,1,2503.408
FDN16,12.6,8,104.899,2,1,1960.781
NCM55,15.6,14,184.7924,,4,370.1848
FDR49,8.71,11,49.5376,,4,95.8752
FDC15,18.1,1,158.1288,1,1,3299.7048
FDB53,13.35,8,150.2392,,1,2684.5056
FDK44,16.6,4,173.3738,3,1,2085.2856
FDA16,6.695,8,221.9456,3,1,2210.456
FDO19,,4,47.4034,1,3,2187.153
FDO04,16.6,8,57.2614,3,1,1049.9666
NCL19,15.35,14,145.047,3,1,2719.793
FDA44,19.7,4,54.593,,4,56.593
FDR60,14.3,6,78.6328,,1,231.6984
FDV37,,11,195.8426,1,3,5734.5354
FDG53,10,8,138.718,2,1,1398.18
DRG01,14.8,2,76.467,3,1,1531.34
FDB38,,11,160.692,3,4,319.584
FDI27,8.71,1,43.8744,1,1,633.8416
FDD29,12.15,8,252.0698,,4,1014.6792
NCR41,17.85,13,97.0094,,1,2094.6068
FDW44,9.5,4,171.3448,1,1,2386.2272
FDU21,11.8,7,34.7558,3,1,780.9834
FDI14,14.1,11,139.8496,3,1,1693.7952
FDW50,,1,168.4158,3,4,334.2316
FDN39,19.35,3,168.3816,3,1,1342.2528
FDT31,19.75,4,190.6872,,1,4916.2672
FDJ14,10.3,11,78.696,,1,1757.712
NCQ43,,14,108.5912,1,3,1637.868
FDZ22,,7,84.925,1,3,1747.725
FDU38,10.8,1,193.4504,,1,2876.256
FDS32,17.75,4,139.9838,,1,1966.7732
DRH13,8.575,2,106.328,1,2,958.752
DRF03,19.1,1,40.2138,,4,81.2276
FDJ20,20.7,4,123.4388,1,1,1238.388
FDE22,,7,157.892,3,4,319.584
FDX22,6.785,7,211.0928,3,1,4418.2488
DRM11,6.57,10,259.7278,2,1,2863.6058
FDL58,5.78,7,264.9568,,1,1845.5976
FDL25,6.92,9,93.1804,1,1,1561.9668
FDD40,20.25,1,194.1162,1,1,3848.324
FDT08,13.65,4,149.005,,1,2097.27
FDO22,13.5,7,81.596,,1,639.168
NCM41,16.5,13,92.612,1,2,559.272
